No,label,trend classification,ts_slope (cm/year),piecewise_R2,sudden change windows span,sudden change window start year,sudden change window end year
358,Bitchfield,Slow increasing,-2.418944884,0.057733023,49,10/1/1975,10/1/2023
359,Shotatton Deep,Slow increasing,-2.541150138,0.178293187,2,10/1/2018,10/1/2019
360,Woodbury Common,No trend,-0.32520865,0.029081855,35,10/1/1985,10/1/2019
361,Ashridge Wood,Slow increasing,-2.3976671,0.026259246,51,10/1/1973,10/1/2023
362,Woolverton 2,Slow increasing,-3.071153846,0.258533754,2,10/1/2022,10/1/2023
363,Pencombe,Slow decreasing,2.971677216,0.051709488,3,10/1/2020,10/1/2022
364,Sandall Beat,No trend,-0.338680927,0.072197981,16,10/1/2005,10/1/2020
365,Kirkby Wetlands 1,No trend,-0.675955988,0.646742134,12,10/1/2010,10/1/2021
366,Kirkby Wetlands 2,No trend,-0.813257576,0.708769752,15,10/1/2009,10/1/2023
367,Kirkby Moor Farm,No trend,0.625631313,0.049564586,7,10/1/1998,10/1/2004
368,Moor Farm 2,No trend,-0.520138889,0.431470455,2,10/1/2020,10/1/2021
369,Moor Farm 1,No trend,0.726704545,0.153695671,14,10/1/2000,10/1/2013
370,Croxton Park,Slow decreasing,11.08541667,0.35935355,3,10/1/2002,10/1/2004
371,Astol,No trend,0.605292677,0.001584222,41,10/1/1981,10/1/2021
372,Swaffham Prior,No trend,0.716339869,0.154658659,2,10/1/2002,10/1/2003
373,Cross Hill,Slow increasing,-12.52383349,0.879526288,26,10/1/1997,10/1/2022
374,Park Farm Ousden,No trend,0.755,0.16852185,1,10/1/2002,10/1/2002
375,Littlecote Park Farm,No trend,-0.29995338,0.043153441,52,10/1/1972,10/1/2023
376,Takeley,Slow decreasing,3.192255892,0.767913251,15,10/1/2003,10/1/2017
377,Heath House,No trend,-0.83791742,0.351125085,51,10/1/1973,10/1/2023
378,Wingate Farm,Slow increasing,-10.89440006,0.086000381,1,10/1/2006,10/1/2006
379,Dane Farm,Slow increasing,-4.017172016,0.066432002,2,10/1/2011,10/1/2012
381,Valiers Bottom,No trend,-1.015491894,0.001199961,48,10/1/1976,10/1/2023
382,Lyndhurst,No trend,1.094820161,0.257800951,1,10/1/2003,10/1/2003
383,Walford Heath,No trend,1.408416759,0.611650167,4,10/1/1988,10/1/1991
384,Arreton Craft Centre,Slow increasing,-3.760330579,0.266766573,32,10/1/1992,10/1/2023
385,Horseclose Copse,No trend,0.95329913,0.012368298,41,10/1/1981,10/1/2021
386,Pincheon Green,Sudden downward change,2.576178451,0.855494101,7,10/1/1985,10/1/1991
387,Kirbymoorside,No trend,-1.041992377,0.329968732,1,10/1/1996,10/1/1996
388,Calbourne Bottom,No trend,-0.358285252,0.024238718,25,10/1/1996,10/1/2020
389,Beetley Meadow,No trend,-0.167261905,0.145496119,2,10/1/2019,10/1/2020
392,Weterton house Farm,Sudden upward change,-14.78942382,0.886058042,12,10/1/1992,10/1/2003
393,Park House,Slow increasing,-2.325,0.145982212,52,10/1/1972,10/1/2023
394,Myton Roundhill,No trend,-1.034616119,0.327554182,16,10/1/1997,10/1/2012
395,Holly Farm Upton,No trend,-0.357244318,0.292819629,28,10/1/1995,10/1/2022
396,Green Lane Cottages,Slow increasing,-24.99470713,0.965528211,33,10/1/1981,10/1/2013
397,Knights Enham,No trend,0.261904762,0.060792149,7,10/1/1965,10/1/1971
398,Brighton Victoria Gardens,No trend,0.1875,0.080736963,4,10/1/1982,10/1/1985
399,Shillingthorpe 1,No trend,-1.986987179,0.093460285,19,10/1/2004,10/1/2022
400,The Belt,Slow increasing,-13.35625,0.084206727,20,10/1/2004,10/1/2023
401,Smallburgh,No trend,-0.411666667,0.894748012,13,10/1/1996,10/1/2008
402,Fulstow,No trend,1.281960227,0.014882351,36,10/1/1976,10/1/2011
403,Portsdown hill,Slow increasing,-3.484375,0.059240871,6,10/1/2005,10/1/2010
404,Upton Green,No trend,-0.548579545,0.095115444,25,10/1/1995,10/1/2019
405,Mimram 5,No trend,1.699722222,0.20418008,18,10/1/2000,10/1/2017
406,Great Bradley,Slow decreasing,4.433845209,0.776405982,22,10/1/1985,10/1/2006
407,Broad Hinton,No trend,-0.642195767,0.147783143,6,10/1/2018,10/1/2023
408,Amwell 5,No trend,-0.546620047,0.054731166,20,10/1/2004,10/1/2023
409,Stock Lane,No trend,-1.49890873,0.025225922,21,10/1/2003,10/1/2023
412,Newton Regis,Sudden upward change,-2.834876543,0.773539173,11,10/1/1969,10/1/1979
413,Aunsby,No trend,-0.683423913,0.042271637,53,10/1/1971,10/1/2023
414,Honey Hill,Slow decreasing,4.720619236,0.002574185,45,10/1/1978,10/1/2022
415,Bletchingdon,Slow increasing,-2.233487749,0.416882157,45,10/1/1979,10/1/2023
416,Mayertorne Manor,Slow increasing,-3.58974359,0.028814529,27,10/1/1996,10/1/2022
417,Orby,No trend,-0.825892857,0.069700597,21,10/1/2003,10/1/2023
418,The Citadel,Slow decreasing,8.261363636,0.943778358,16,10/1/1982,10/1/1997
419,Scopwick,No trend,1.089325069,0.02719576,39,10/1/1980,10/1/2018
420,Read Scar Wood,No trend,-1.603524288,0.313799905,34,10/1/1990,10/1/2023
421,Lowgate Balne,No trend,0.273472222,0.220021877,10,10/1/2011,10/1/2020
422,Boxted,No trend,0.214064922,0.003122544,32,10/1/1979,10/1/2010
423,Woolbeding Pound Common,No trend,1.554347826,0.211024975,39,10/1/1981,10/1/2019
424,Fishlocks,No trend,-0.297979798,0.000445324,50,10/1/1974,10/1/2023
425,Harcourt,No trend,-0.683929972,0.163164792,1,10/1/2012,10/1/2012
428,Chicheley Gardens,Slow increasing,-28.44991582,0.952124926,16,10/1/2006,10/1/2021
429,Sparholme Wood,Slow increasing,-3.803849638,0.096382064,49,10/1/1973,10/1/2021
430,Southend Goxhill,No trend,0.533680556,0.025487929,32,10/1/1959,10/1/1990
431,Ballinger Common,Slow decreasing,2.375138403,0.006990139,30,10/1/1987,10/1/2016
432,Salford,Slow increasing,-5.267340013,0.925230964,17,10/1/1969,10/1/1985
433,Hoover Building,Slow increasing,-63.81235431,0.98754175,18,10/1/1989,10/1/2006
434,Grievestead Farm,Slow decreasing,17.85481635,0.908876508,15,10/1/2009,10/1/2023
435,Ram Hall,Slow decreasing,14.63095462,0.369539453,8,10/1/2014,10/1/2021
436,Lower Basildon,Slow decreasing,2.963253805,0.257977305,23,10/1/1988,10/1/2010
437,Fords,Slow increasing,-18.1049189,0.977129643,28,10/1/1995,10/1/2022
439,Charlton North Lane,Slow increasing,-3.431349206,0.094910396,34,10/1/1990,10/1/2023
440,Tattershall 3,Slow increasing,-3.043247694,0.396747053,8,10/1/2016,10/1/2023
441,Pulborough Brooks 4,Slow increasing,-7.076512992,0.67713623,21,10/1/2003,10/1/2023
442,Pulborough Brooks 3,Slow increasing,-9.902375169,0.661205395,21,10/1/2003,10/1/2023
443,Fairmile Bottom,Slow increasing,-5.609283626,0.326074925,29,10/1/1995,10/1/2023
444,Brighton Preston Park North,Slow increasing,-3.126507006,0.096272643,13,10/1/2011,10/1/2023
445,Halstead,No trend,-1.763660718,0.116004777,2,10/1/1992,10/1/1993
446,West Wickham Way,Slow decreasing,2.0625,0.047957254,8,10/1/2003,10/1/2010
447,Compton House,No trend,1.009986226,0.051266999,38,10/1/1980,10/1/2017
448,Appleton Wood Wingham,Slow increasing,-4.822698403,0.236042097,34,10/1/1990,10/1/2023
449,Coast Road,No trend,-0.400575973,0.181437047,1,10/1/2018,10/1/2018
450,Kellingley,Slow increasing,-4.610795455,0.711076236,33,10/1/1991,10/1/2023
451,Louth,Sudden downward change,24.98919753,0.906151724,15,10/1/1984,10/1/1998
452,Pettaugh D,No trend,0.896393281,0.094950762,8,10/1/2007,10/1/2014
453,Norton Grange Farm,Slow increasing,-13.06468254,0.180810532,33,10/1/1991,10/1/2023
454,Weedley Plantation,No trend,1.982444473,0.056135394,3,10/1/1980,10/1/1982
455,Westoe Farm,Slow decreasing,2.606111111,0.18093211,1,10/1/2003,10/1/2003
456,Lilley Bottom,No trend,1.654216793,0.021240019,40,10/1/1978,10/1/2017
457,Garmondsway,Sudden upward change,-21.86719543,0.816396241,8,10/1/1994,10/1/2001
458,Maidenhead Ditch,Slow decreasing,2.302037886,0.140345019,12,10/1/2005,10/1/2016
459,South Darenth,No trend,-1.066728114,0.092676318,18,10/1/1996,10/1/2013
460,Thurlow Road,No trend,0.955868206,0.095810238,19,10/1/2001,10/1/2019
461,High Burnigill,Sudden upward change,-8.671438307,0.991709813,7,10/1/1996,10/1/2002
462,Ricketts farm,Slow decreasing,5.871794872,0.172541371,1,10/1/2003,10/1/2003
464,Wet Horse Fen,No trend,0.131060606,0.16175562,7,10/1/2016,10/1/2022
465,Aspin Farm,Slow increasing,-8.208333333,0.245390132,36,10/1/1988,10/1/2023
466,Riseholme,No trend,1.720779221,0.484858901,1,10/1/2005,10/1/2005
467,Rockley,No trend,-0.477941452,0.068115162,6,10/1/2018,10/1/2023
468,Radmoor,No trend,1.366666667,0.491148814,16,10/1/1972,10/1/1987
469,Blacketts Farm Chalk,No trend,-1.998571429,0.739945939,6,10/1/1974,10/1/1979
470,Blacketts Farm Thanet,Slow increasing,-3.103239263,0.24547616,4,10/1/2008,10/1/2011
471,Whitwell Highwood,Slow decreasing,2.235082305,0.254808225,39,10/1/1973,10/1/2011
472,Alne Sandy Lane,No trend,-1.131060606,0.341276638,18,10/1/1997,10/1/2014
473,Lingham Lane,No trend,-0.273695286,0.16559783,8,10/1/2005,10/1/2012
474,Stretton Sugwas,Slow increasing,-8.328142957,0.470607536,11,10/1/1997,10/1/2007
475,Newsells,Slow decreasing,37.30681818,0.175004173,19,10/1/2001,10/1/2019
476,Wapseys Wood,No trend,0.948506599,0.006112723,37,10/1/1987,10/1/2023
477,Riseley Mill,Slow increasing,-11.28155295,0.629769656,6,10/1/2005,10/1/2010
478,Atcham,No trend,-0.235088735,0.042749055,46,10/1/1974,10/1/2019
479,Cambridge Road,No trend,1.149016626,0.026289999,17,10/1/2000,10/1/2016
480,Chidden Farm,No trend,-1.4875,0.088102628,14,10/1/2010,10/1/2023
481,Brick House Farm,No trend,-1.796464646,0.169448456,14,10/1/2010,10/1/2023
482,Sandhill Farm,Slow decreasing,6.154431004,0.518872071,6,10/1/2017,10/1/2022
483,Grayshott,No trend,-0.895454545,0.085099267,40,10/1/1976,10/1/2015
484,Ryton,Slow decreasing,2.886363636,0.063983769,28,10/1/1995,10/1/2022
485,Chat Moss,No trend,-1.242625636,0.52870607,26,10/1/1998,10/1/2023
486,Downham Highlodge,Slow decreasing,8.329146633,0.550079904,12,10/1/1998,10/1/2009
487,Skewter Plantation,Slow decreasing,4.166666667,0.252902532,20,10/1/1999,10/1/2018
488,Welton Wold 2,Slow increasing,-4.794117647,0.178510939,34,10/1/1990,10/1/2023
489,Longwood Owslebury,No trend,-1.579365079,0.214216012,2,10/1/2022,10/1/2023
490,Lower Wield Farm,No trend,-1.263814617,0.257187262,14,10/1/2010,10/1/2023
491,Moor Hall,Slow increasing,-31.13348028,0.982269694,28,10/1/1996,10/1/2023
492,Hampshire Bowman,Slow increasing,-3.215350877,0.097427255,49,10/1/1973,10/1/2021
493,Wood Lane,Slow increasing,-72.60251323,0.992344051,21,10/1/1995,10/1/2015
494,Freckenham Road,No trend,1.293981481,0.071492428,15,10/1/2000,10/1/2014
495,Gilbert Street,Slow increasing,-4.344202899,0.065257824,32,10/1/1990,10/1/2021
497,Tentworth,Slow decreasing,2.39775641,0.289356106,9,10/1/1996,10/1/2004
498,Victoria road,No trend,1.765434661,0.181066815,23,10/1/2000,10/1/2022
499,Chawley Manor,Slow decreasing,3.503496503,0.051401335,16,10/1/2000,10/1/2015
500,Patching Pond,Slow increasing,-4.944444444,0.243377945,20,10/1/2004,10/1/2023
501,Longwall Cottage,No trend,0.707253086,0.012613631,39,10/1/1980,10/1/2018
502,Roall,Sudden upward change,-13.8734127,0.866142803,12,10/1/2012,10/1/2023
503,Thornwood common,No trend,-0.140151515,0.67027672,5,10/1/1998,10/1/2002
504,Sunnyside Over Wallop,No trend,1.041666667,0.002682524,52,10/1/1968,10/1/2019
505,Hazelberry Plantation,Slow decreasing,17.54241746,0.25766917,2,10/1/2000,10/1/2001
507,Hartlebury,Slow increasing,-7.588015572,0.420021964,36,10/1/1978,10/1/2013
508,Peafield,Slow decreasing,7.719967532,0.655155308,38,10/1/1969,10/1/2006
509,Cranwich Road,No trend,0.103835979,0.018852291,24,10/1/1999,10/1/2022
510,Ellerholme Farm,No trend,-0.716117216,0.216812985,25,10/1/1995,10/1/2019
511,Fockbury Mill,Slow increasing,-44.41394394,0.922865798,16,10/1/2004,10/1/2019
512,Heighington,No trend,-0.029485193,0.010065964,53,10/1/1971,10/1/2023
513,St Marys Farm Falmer,Slow decreasing,3.691815476,0.081006853,8,10/1/1982,10/1/1989
514,Hill Farm Cottage,No trend,-1.364932217,0.072058221,50,10/1/1974,10/1/2023
515,Elms Vale,Slow increasing,-9.374900415,0.016769459,16,10/1/2005,10/1/2020
516,Elloughton,No trend,-0.034255113,0.012932819,10,10/1/1985,10/1/1994
517,Hayes Farm,Slow decreasing,2.311435786,0.486145363,10,10/1/1995,10/1/2004
518,Odstock,No trend,-1.830492424,0.110933923,7,10/1/2004,10/1/2010
519,East Dean Down,No trend,0.015178571,0.284123955,3,10/1/2002,10/1/2004
520,Helshaw Grange,No trend,0.494871795,0.281188931,2,10/1/1988,10/1/1989
521,Cockley Cley Estate,Slow decreasing,9.917060857,0.135860461,11,10/1/2007,10/1/2017
522,Malthouse,No trend,-0.332671958,0.010079271,60,10/1/1964,10/1/2023
523,Dunston Heath,No trend,-0.024756494,0.034046946,32,10/1/1990,10/1/2021
524,Mamhead Bottom,No trend,0.602588795,0.027291313,12,10/1/2006,10/1/2017
525,Fairstead Lane,No trend,-1.808333333,0.181548595,11,10/1/2013,10/1/2023
526,Hazlewood Common,No trend,-0.794444444,0.417595874,2,10/1/1999,10/1/2000
527,Red Lion,Slow increasing,-7.078533611,0.838216007,26,10/1/1979,10/1/2004
528,Street End,Slow increasing,-3.479140758,0.022950067,26,10/1/1995,10/1/2020
529,Billet Lane,No trend,0.305555556,0.023893788,5,10/1/2018,10/1/2022
530,Leaden Roding,Slow increasing,-6.944547996,0.967282011,24,10/1/1978,10/1/2001
531,Childs Ercall 3,Sudden upward change,-6.849200214,0.876310836,12,10/1/1993,10/1/2004
533,Chapel Farm,No trend,0.25951592,0.001477145,22,10/1/1991,10/1/2012
534,Westerley,No trend,0.880709198,0.078837222,42,10/1/1976,10/1/2017
535,Northfield Farm,No trend,-0.313115305,0.002203205,51,10/1/1973,10/1/2023
536,Western Road,Slow decreasing,21.39213564,0.478743156,2,10/1/2002,10/1/2003
537,Chesterton,Slow increasing,-3.208333333,0.46856351,23,10/1/1992,10/1/2014
538,Thornhill,Slow increasing,-4.617409522,0.546976897,41,10/1/1983,10/1/2023
539,Heck Ings Lane Wood,Sudden downward change,3.291138357,0.703992935,10,10/1/1983,10/1/1992
540,Amwell 8,No trend,-0.821678322,0.19755906,13,10/1/2011,10/1/2023
541,Heley House,Slow increasing,-31.28636739,0.886674467,32,10/1/1976,10/1/2007
543,Hammerpot Cottage,Slow increasing,-3.326388889,0.249521789,20,10/1/2004,10/1/2023
544,Coldwaltham,Slow increasing,-8.336722488,0.446088024,29,10/1/1994,10/1/2022
545,Thursley,No trend,0.153846154,0.052928343,5,10/1/2005,10/1/2009
546,Alverstone,No trend,-0.456521739,0.067709311,6,10/1/2008,10/1/2013
547,Brightwalton Holt,No trend,0.766834468,0.000608925,42,10/1/1981,10/1/2022
548,Sneads Green House,No trend,1.025627974,0.330551358,10,10/1/2008,10/1/2017
549,Mimram 1,Slow decreasing,2.428472222,0.155567924,18,10/1/2000,10/1/2017
550,Fowlers Hill,No trend,-0.92962963,0.076367172,50,10/1/1973,10/1/2022
552,Oxley,Slow increasing,-26.01587302,0.926621541,25,10/1/1973,10/1/1997
553,West Luttons,No trend,-0.968055556,0.017294927,51,10/1/1973,10/1/2023
555,Church Way Redgrave,No trend,1.013888889,0.194909361,2,10/1/2002,10/1/2003
556,Puddington,Slow increasing,-16.77794354,0.97048025,46,10/1/1978,10/1/2023
557,Tittleshall,Slow decreasing,7.760802469,0.276528824,19,10/1/2000,10/1/2018
558,Saughall Massie,Slow increasing,-5.866666667,0.781541213,24,10/1/1997,10/1/2020
559,Humberston,Slow increasing,-3.554558081,0.485316027,38,10/1/1972,10/1/2009
560,Stonehill Plantation,Slow decreasing,3.715151515,0.515590563,20,10/1/2000,10/1/2019
561,Bourley Lane,Sudden upward change,-17.74665324,0.936407832,10,10/1/2004,10/1/2013
563,Brading,Slow increasing,-8.076178451,0.249441558,33,10/1/1991,10/1/2023
564,Folly Barn,No trend,-0.627083333,0.009605117,52,10/1/1972,10/1/2023
565,Southfields Road,No trend,-0.288333333,0.051889704,46,10/1/1978,10/1/2023
566,Broom Park,Sudden upward change,-57.87318606,0.969019411,10,10/1/1994,10/1/2003
567,Yieldingtree Cottage,No trend,-1.039983165,0.383529643,9,10/1/2005,10/1/2013
568,Sella Park,Slow increasing,-2.806757648,0.317121244,46,10/1/1975,10/1/2020
569,Winterbourne Manor,No trend,-0.392685957,0.038772202,50,10/1/1973,10/1/2022
570,Skirwith,No trend,-1.107668933,0.161062359,42,10/1/1979,10/1/2020
573,Shaws Corner,No trend,1.048636244,0.629109241,8,10/1/2015,10/1/2022
574,Wildhern,No trend,-0.451018809,0.005401698,62,10/1/1962,10/1/2023
575,Inholmes,No trend,-0.844526902,0.008154519,49,10/1/1975,10/1/2023
576,Hall Farm Kettlebaston,No trend,0.432432432,0.583193146,8,10/1/2010,10/1/2017
578,Tollard Royal,Slow increasing,-6.713771645,0.169967263,13,10/1/2010,10/1/2022
579,Wenderton,No trend,-0.47531552,0.307954558,16,10/1/1992,10/1/2007
580,Merrybent East,Slow increasing,-2.022243714,0.006921714,53,10/1/1969,10/1/2021
581,West Acre,No trend,1.144230769,0.424749596,1,10/1/2001,10/1/2001
583,Tarlton Tower,Slow decreasing,5.101851852,0.189362838,33,10/1/1984,10/1/2016
585,Stewarts Farm,No trend,-1.270833333,0.019295375,26,10/1/1998,10/1/2023
586,Shalden Manor,No trend,-0.414197531,0.088451363,5,10/1/2019,10/1/2023
587,Willow House Farm,No trend,0.003333333,0.156175885,1,10/1/2000,10/1/2000
588,Tormarton,Slow decreasing,15.495,0.423288597,6,10/1/1998,10/1/2003
589,Walkern,Slow increasing,-2.311800066,0.063985733,28,10/1/1996,10/1/2023
590,Soke Road,Slow increasing,-3.636363636,0.156714079,7,10/1/2014,10/1/2020
593,Ampney Knowle,No trend,-1.402732684,0.196900723,6,10/1/2018,10/1/2023
594,Holmewood Grange,No trend,-0.177121212,0.105433096,26,10/1/1997,10/1/2022
595,Marshalls Quarry,No trend,-0.5625,0.221048893,3,10/1/1998,10/1/2000
596,Brinkhill Bridge,Slow increasing,-9.539393939,0.294714008,4,10/1/2015,10/1/2018
597,Damgate Lane 2,No trend,0.426086957,0.192740577,4,10/1/2001,10/1/2004
598,Tetchill,No trend,0.524821605,0.015980846,24,10/1/1994,10/1/2017
599,Chessell,Slow increasing,-2.185858586,0.244469522,40,10/1/1984,10/1/2023
600,Folly Farm Headley,Slow decreasing,7.237994177,0.624647498,8,10/1/1978,10/1/1985
601,Woodend,Slow increasing,-4.32577011,0.117534427,51,10/1/1973,10/1/2023
602,Broughton Hall,No trend,-1.316520468,0.115743003,31,10/1/1991,10/1/2021
603,Heath End,No trend,-0.91145298,0.731680136,6,10/1/1982,10/1/1987
605,Henley Farm,No trend,-0.768518069,0.007246884,51,10/1/1973,10/1/2023
606,Lynn Road,Slow decreasing,8.021581197,0.07383941,9,10/1/2002,10/1/2010
607,Patterdown,Slow increasing,-10.99824561,0.203551307,34,10/1/1989,10/1/2022
608,Bailiffs Cottage,No trend,-1.089300977,0.059595189,6,10/1/1990,10/1/1995
609,Upper Up,No trend,-0.558646014,0.342020272,12,10/1/2012,10/1/2023
610,Nafferton,No trend,-0.202730131,0.029491303,29,10/1/1995,10/1/2023
612,Southwood Farm,No trend,-0.582692308,0.022913836,12,10/1/1990,10/1/2001
613,Stoford Cross,Slow decreasing,2.290558118,0.003568221,10,10/1/2007,10/1/2016
614,Benfield Barn,Slow increasing,-6.475108932,0.296871554,18,10/1/2005,10/1/2022
615,Bimbo Farm,No trend,-0.6,0.173957994,9,10/1/2005,10/1/2013
616,Ampney St Peter,Slow increasing,-3.528909185,0.460881932,3,10/1/2002,10/1/2004
617,Combe,Slow increasing,-2.913939895,0.046418468,56,10/1/1968,10/1/2023
618,Avebury,No trend,-0.360767959,0.010334542,42,10/1/1973,10/1/2014
619,Spong Lane,No trend,0.87226166,0.083636263,1,10/1/2010,10/1/2010
620,Footscray Meadows,No trend,-1.691919192,0.10872299,27,10/1/1996,10/1/2022
621,Great Easton,Slow decreasing,6.62337963,0.468507326,29,10/1/1986,10/1/2014
622,Bignor Park,No trend,-0.936494149,0.035793519,19,10/1/2005,10/1/2023
625,Claverley Well,No trend,0.344507576,0.011037065,23,10/1/2000,10/1/2022
626,East Meon,Slow increasing,-7.028736578,0.144097387,34,10/1/1988,10/1/2021
627,Mile Oak South,No trend,-0.753246753,0.04976619,19,10/1/2005,10/1/2023
628,Great Limber,Slow decreasing,2.081267218,0.102633181,9,10/1/1980,10/1/1988
629,Manor Farm Bradley,Slow increasing,-2.249583063,0.135465261,50,10/1/1974,10/1/2023
630,Pettaugh C,Slow decreasing,2.08258521,0.110781312,5,10/1/2002,10/1/2006
631,Chruch Farm,No trend,-1.008080808,0.028010643,22,10/1/1998,10/1/2019
632,Penwood,Slow increasing,-7.096428571,0.868715616,17,10/1/1998,10/1/2014
635,Wreningham,No trend,0.092307692,4.14E-05,41,10/1/1983,10/1/2023
636,Mill Cottage Ewhurst,No trend,-0.307692308,0.02839036,38,10/1/1977,10/1/2014
637,Dummer Village,No trend,-1.966557018,0.165893045,27,10/1/1997,10/1/2023
638,Millington,Slow increasing,-2.041666667,0.151312124,36,10/1/1988,10/1/2023
639,Betterton,No trend,-1.482160692,0.070436675,49,10/1/1975,10/1/2023
640,Oad Street,Slow increasing,-8.566335913,0.266576915,7,10/1/2007,10/1/2013
641,Benfield,Slow decreasing,10.83537138,0.224673564,9,10/1/2002,10/1/2010
642,Crichel Chitterwood,No trend,0.233676046,0.048699426,4,10/1/2000,10/1/2003
643,Beech Tree Cottage,No trend,-0.226190476,3.39E-05,30,10/1/1991,10/1/2020
645,Akzo Noble,Sudden upward change,-13.88228256,0.922392607,10,10/1/2005,10/1/2014
646,Sunderlandwick,No trend,-0.080708181,0.057488985,8,10/1/2016,10/1/2023
647,Acotts Barn,Slow increasing,-2.623626119,0.050552315,27,10/1/1997,10/1/2023
